"","ycoo","xcoo","predicted"
"1",116.5219825,39.9149405,8.87360267611393
"2",116.5020165,39.9148605,0.307839335460949
"3",116.4835775,39.914612,-0.144585364321092
"4",116.467314,39.9144385,-0.066676878259332
"5",116.457093,39.9142215,0.175509352600382
"6",116.441975,39.9145025,-0.0719648040656207
"7",116.425387,39.9145015,0.0273051056305295
"8",116.4180085,39.914401,0.087342055213763
"9",116.4079065,39.914081,0.158448132133323
"10",116.398018,39.913778,-0.485372873969558
"11",116.3819025,39.9133285,-0.270258947976217
"12",116.36378,39.9130225,-1.26488900124541
"13",116.3591885,39.9129795,0.465780280863204
"14",116.3441,39.9131275,-0.188924845308868
"15",116.3293055,39.9133415,-0.149758946713202
"16",116.301392,39.9137105,0.683432777148388
"17",116.2806805,39.913832,0.587565062579497
"18",116.2594875,39.9135005,0.834625074021169
"19",116.2424,39.9131885,0.341153364450207
"20",116.2193975,39.913078,-0.779949559801687
"21",116.197088,39.913412,0.183866678814634
"22",116.3791925,39.9547675,0.74430408844226
"23",116.400219,39.9546105,0.615953818999572
"24",116.4145985,39.9554405,0.494525414916313
"25",116.42311,39.9551115,-0.0183541365699569
"26",116.4413844,39.94776956,0.143985613496863
"27",116.440619,39.9398405,-0.479984689719822
"28",116.440195,39.93046,0.77253250640106
"29",116.433604,39.9111285,-0.0415279420183761
"30",116.4244145,39.907161,0.755966972038326
"31",116.404288,39.906532,0.426227386259516
"32",116.3906095,39.906361,0.13485448363613
"33",116.380824,39.9058805,8.87360267611393
"34",116.3699055,39.90534,0.307839335460949
"35",116.3628085,39.929521,-0.144585364321092
"36",116.3618935,39.9383505,-0.066676878259332
"37",116.361423,39.9464705,0.175509352600382
"38",116.4193925,40.0895985,-0.0719648040656207
"39",116.4192165,40.081479,0.0273051056305295
"40",116.4191065,40.072751,0.087342055213763
"41",116.4182835,40.059248,0.158448132133323
"42",116.4209865,40.0481415,-0.485372873969558
"43",116.4245125,40.0368205,-0.270258947976217
"44",116.4245835,40.0096105,-1.26488900124541
"45",116.423516,39.9941505,0.465780280863204
"46",116.424022,39.983278,-0.188924845308868
"47",116.4244815,39.974501,-0.149758946713202
"48",116.4250755,39.964751,0.683432777148388
"49",116.423299,39.947111,0.587565062579497
"50",116.4235895,39.939912,0.834625074021169
